time,amount,compairs,swaps
0.094000,1000,25802,2434
0.024000,2000,13716,444
0.310000,3000,88879,8139
0.411000,4000,134369,10616
0.552000,5000,162718,14189
0.761000,6000,213633,16874
0.944000,7000,238201,20636
1.007000,8000,290127,23257
1.095000,9000,325136,26408
1.171000,10000,330964,29682
1.482000,11000,418072,34256
1.645000,12000,471090,38180
1.714000,13000,487790,41331
1.929000,14000,542517,45250
2.105000,15000,589440,48104
2.140000,16000,618410,52177
2.169000,17000,665378,54669
2.620000,18000,663837,59528
2.502000,19000,742877,62299
2.679000,20000,790811,66484
2.779000,21000,879042,69318
3.198000,22000,873486,73845
3.057000,23000,926246,77769
3.283000,24000,1019270,80249
3.484000,25000,1040316,84884
3.473000,26000,1155036,87274
3.658000,27000,1072296,92549
4.136000,28000,1188247,95746
3.961000,29000,1224921,100176
4.505000,30000,1482637,101913
4.424000,31000,1265939,109429
4.792000,32000,1380290,111048
4.748000,33000,1381148,115903
4.918000,34000,1479787,119118
5.015000,35000,1512919,122667
5.416000,36000,1602645,125309
5.355000,37000,1633878,130919
5.640000,38000,1633067,135474
7.059000,39000,1712458,136923
5.889000,40000,1705512,143213
5.967000,41000,1737117,147138
6.019000,42000,1884549,151033
6.783000,43000,1826188,155967
6.487000,44000,2058695,157025
6.710000,45000,1947745,163123
7.099000,46000,1998418,165917
6.969000,47000,2023835,172511
6.924000,48000,2081785,174987
7.409000,49000,2147195,179127
7.464000,50000,2256396,181959
7.336000,51000,2235690,184120
7.848000,52000,2493186,191300
8.144000,53000,2349198,194818
7.967000,54000,2278798,199709
8.034000,55000,2594112,199493
7.958000,56000,2333217,209036
8.715000,57000,2617082,213480
8.646000,58000,2632862,214831
8.892000,59000,2672232,218398
9.208000,60000,2834118,224056
9.073000,61000,2834216,229215
9.181000,62000,2980757,232549
9.181000,63000,2813948,238235
9.712000,64000,3065562,241118
9.374000,65000,2867323,239079
9.871000,66000,2990495,249050
10.468000,67000,3042261,256570
10.508000,68000,3017658,262143
10.547000,69000,2917180,265044
13.747000,70000,3169504,268395
11.417000,71000,3246108,271151
11.119000,72000,3464470,273857
11.454000,73000,3364702,280633
11.730000,74000,3460832,283478
11.905000,75000,3476716,288560
11.839000,76000,3450796,293690
11.612000,77000,3543473,294212
11.769000,78000,3828627,299820
12.187000,79000,3898749,303102
12.258000,80000,3516912,310155
12.368000,81000,3623986,315999
12.641000,82000,3787544,320838
12.927000,83000,3779799,321864
13.097000,84000,3812737,328229
13.378000,85000,3986699,329038
12.836000,86000,3726947,336565
13.192000,87000,3799707,340021
13.680000,88000,4081260,346474
14.119000,89000,4291574,350968
14.291000,90000,4274063,347003
15.213000,91000,4326903,359625
14.815000,92000,4486867,362115
14.424000,93000,4317142,366851
14.874000,94000,4537864,371212
14.933000,95000,4572581,370295
15.107000,96000,4875142,380346
15.078000,97000,4493515,387332
15.321000,98000,4456137,391684
15.758000,99000,4798426,390554
16.509000,100000,4978303,395321
