time,amount,compairs,swaps
0.000330,1000,28419,2734
0.000464,2000,56961,6064
0.000633,3000,97632,9472
0.000934,4000,157857,12940
0.001019,5000,180685,16626
0.001142,6000,200124,20414
0.001506,7000,242216,24084
0.001607,8000,314549,27654
0.002008,9000,349454,31482
0.002082,10000,371714,35792
0.002204,11000,454782,39118
0.002347,12000,495600,43278
0.002527,13000,506276,47562
0.002719,14000,537742,51590
0.002934,15000,600460,55496
0.003331,16000,670867,59110
0.003315,17000,631263,64036
0.003509,18000,749010,67044
0.004089,19000,853566,70838
0.003937,20000,788530,76404
0.004036,21000,1018477,78828
0.004362,22000,965720,83514
0.004565,23000,1011692,87718
0.005188,24000,1052946,92722
0.004873,25000,1069274,96762
0.005435,26000,1111619,100880
0.005223,27000,1184153,104954
0.006038,28000,1232022,109168
0.005515,29000,1309953,112604
0.006069,30000,1346735,117278
0.005949,31000,1411247,120714
0.006911,32000,1329027,127176
0.006463,33000,1382743,130986
0.006485,34000,1517875,134586
0.007500,35000,1530940,139052
0.007022,36000,1486255,144222
0.007132,37000,1566295,148928
0.008016,38000,1630730,152600
0.007643,39000,1707436,156652
0.008293,40000,1775594,161224
0.008188,41000,1866206,166170
0.009043,42000,1988448,167992
0.008989,43000,1909868,174340
0.009015,44000,1951227,178410
0.008987,45000,2099669,182518
0.009105,46000,2164047,186620
0.009669,47000,2056397,191948
0.009953,48000,2287802,195642
0.010328,49000,2274239,200560
0.010475,50000,2318414,205154
0.010450,51000,2323233,210126
0.010968,52000,2604337,210888
0.010810,53000,2659240,216834
0.010997,54000,2436013,223016
0.011535,55000,2680403,227232
0.011858,56000,2660336,230152
0.012113,57000,2496605,237328
0.012016,58000,2793918,239906
0.012701,59000,2862481,246006
0.012616,60000,3342421,244296
0.012282,61000,2837921,253586
0.012627,62000,2857051,259206
0.012812,63000,3404179,259816
0.013636,64000,3171599,266302
0.013641,65000,3394163,269434
0.013113,66000,3114409,276346
0.014460,67000,3194636,280864
0.014417,68000,3394986,283698
0.013841,69000,3103196,291812
0.014966,70000,3290384,295456
0.015200,71000,3684974,298880
0.014949,72000,3642333,301532
0.016165,73000,3683965,306998
0.022210,74000,3638076,312480
0.015509,75000,3628758,318040
0.015950,76000,3833821,320266
0.015599,77000,3615621,326888
0.016187,78000,3912888,328554
0.015831,79000,3788645,335598
0.016333,80000,3806336,341094
0.017632,81000,3934187,346202
0.017699,82000,4034167,349928
0.017776,83000,4277333,351214
0.017704,84000,4231753,358320
0.017487,85000,4177294,362596
0.017645,86000,4073384,368734
0.018266,87000,4715748,368660
0.018375,88000,4796885,371660
0.018917,89000,4356737,383238
0.019135,90000,4416525,385536
0.020087,91000,5236199,384296
0.020237,92000,4496078,397130
0.020506,93000,4484914,400194
0.020450,94000,4482926,405292
0.020977,95000,4629956,410144
0.020971,96000,4845914,412540
0.021174,97000,4785573,417616
0.021250,98000,4896558,423182
0.021715,99000,4886576,426776
0.022632,100000,4961424,430122
