times,amount,compairs,swaps
4,1000,5644,417210
12,2000,12054,1716427
31,3000,18371,3967907
48,4000,24717,7151006
77,5000,31235,11286191
111,6000,37591,16416692
168,7000,43989,22530109
196,8000,50224,29622818
281,9000,56508,37725762
318,10000,62957,46797660
382,11000,69474,56788256
455,12000,75990,67831039
541,13000,81991,79975235
617,14000,88108,92912823
731,15000,95200,106965650
840,16000,101633,121917880
943,17000,107514,137921825
1062,18000,114362,155024518
1168,19000,120344,172925704
1306,20000,127043,191814175
1472,21000,133317,211838774
1589,22000,139413,232950152
1725,23000,145944,254896519
2050,24000,152350,277610010
2023,25000,158507,301735995
2221,26000,164941,326635376
2390,27000,171344,352594394
2562,28000,178042,379344605
2899,29000,184570,407466929
3065,30000,190684,436417721
3225,31000,197048,466438449
3371,32000,204213,497390155
3571,33000,209735,529180644
3905,34000,216455,561938383
4231,35000,222536,596001958
4473,36000,229543,631021044
4680,37000,235551,666812709
5247,38000,241757,703747430
5185,39000,247894,741763789
5693,40000,253621,780558117
5741,41000,261383,820684922
6145,42000,267264,861324648
6394,43000,273995,903025625
6633,44000,280420,946099992
6991,45000,286688,989707118
7391,46000,292347,1034771747
7597,47000,299223,1080705678
8112,48000,305473,1127691825
8454,49000,311808,1175630028
8846,50000,318648,1224459276
9064,51000,324913,1274231249
9481,52000,331272,1325294142
9906,53000,337273,1376459057
10203,54000,344190,1430007407
10489,55000,350332,1483245639
11164,56000,356952,1538643309
11541,57000,363435,1594214818
12084,58000,369304,1650962170
12324,59000,375129,1708970616
12790,60000,382362,1768297707
13168,61000,388671,1827576556
13569,62000,394475,1888182954
14068,63000,401362,1950727749
14469,64000,407770,2013076066
15072,65000,414235,2077052707
15512,66000,420650,2141469257
15469,67000,426685,2207034852
16081,68000,433234,2274308840
17077,69000,439511,2341679985
17416,70000,445704,2410712367
17861,71000,452930,2480474894
18981,72000,459101,2551842138
19274,73000,465805,2622485555
19650,74000,472601,2696216285
19762,75000,478320,2769615154
20591,76000,483638,2844569099
21275,77000,490427,2920083332
21707,78000,497179,2996845359
22220,79000,503655,3074686503
23237,80000,510148,3153143292
23783,81000,516774,3233481472
23373,82000,522865,3314448877
24515,83000,529121,3395144824
25043,84000,536027,3479132306
24734,85000,541566,3562560564
23820,86000,548199,3647568573
24431,87000,554070,3732745451
26241,88000,559769,3819268566
26503,89000,567624,3906809077
26814,90000,572758,3995570974
28355,91000,578117,4085587984
28657,92000,585610,4175984809
29988,93000,592309,4267988187
30051,94000,599211,4360598127
31027,95000,606199,4454968815
32038,96000,611218,4550294180
32326,97000,618572,4645446853
33183,98000,623853,4740812309
33474,99000,630184,4840016802
36117,100000,638266,4938324851
