times,amount,compairs,swaps
0,1000,6437,376422
3,2000,14263,1503371
8,3000,22780,3383818
13,4000,31293,6002123
20,5000,40611,9366709
30,6000,49275,13589558
40,7000,58918,18483590
52,8000,67906,24256689
66,9000,77606,30625222
81,10000,87398,37937098
101,11000,96994,45822896
134,12000,106924,54405992
147,13000,116438,64123888
161,14000,126056,74587863
189,15000,136774,85659026
212,16000,146315,97644249
242,17000,156711,110318447
270,18000,166599,123691909
302,19000,177105,138242206
331,20000,187472,152774733
371,21000,197111,169019385
399,22000,207200,185774337
442,23000,217727,203170140
485,24000,228427,221295425
528,25000,238049,240158510
562,26000,248498,260356090
623,27000,259551,280640027
656,28000,269276,302433987
707,29000,279882,324483480
770,30000,290220,347427067
822,31000,301664,371092929
860,32000,311771,396063903
920,33000,321636,422817090
985,34000,332179,448937374
1019,35000,343282,475887483
1074,36000,353441,502773912
1150,37000,364683,531863518
1226,38000,375196,561357216
1298,39000,385449,592062893
1332,40000,396391,623714349
1427,41000,407479,654570019
1502,42000,418300,687279039
1577,43000,428546,721871463
1649,44000,439877,757447666
1722,45000,449784,791693329
2008,46000,460497,829163084
1874,47000,470977,865815200
1965,48000,482081,903881202
2075,49000,493027,942823277
2115,50000,503494,982823001
2228,51000,513694,1022919708
2387,52000,526140,1064502995
2403,53000,536616,1106367617
2517,54000,547153,1151118468
2598,55000,556982,1192229119
2649,56000,568049,1238052571
2862,57000,579552,1284352511
2861,58000,589748,1330290049
3026,59000,600839,1379062275
3022,60000,611290,1427313349
3297,61000,622311,1475971573
3327,62000,632868,1526640736
3363,63000,643314,1576205102
3498,64000,655200,1626506177
3549,65000,665611,1679956697
3696,66000,676612,1735225848
3860,67000,687069,1790552486
3980,68000,698016,1843610646
4144,69000,709476,1900241207
4194,70000,720168,1957014966
4362,71000,731611,2016570925
4460,72000,742863,2071694594
4573,73000,753281,2133356108
4689,74000,764222,2195274066
4781,75000,774744,2254790712
4896,76000,786264,2317187553
5076,77000,795761,2378354847
5283,78000,807024,2441926426
5441,79000,817354,2509395417
5463,80000,831306,2575602533
5679,81000,839547,2640529621
5709,82000,850869,2708559075
5946,83000,862063,2778877285
6107,84000,873274,2846932282
6149,85000,882820,2916985718
6324,86000,895532,2989862053
6647,87000,905977,3062424974
6783,88000,917989,3135240473
6884,89000,928820,3207128262
6905,90000,940347,3284548315
7222,91000,949460,3359753255
7176,92000,960862,3434365292
7398,93000,971494,3512651456
7632,94000,982759,3587929480
7805,95000,993194,3669977226
8083,96000,1005209,3748967391
8186,97000,1016101,3835493914
8245,98000,1028470,3913241531
8453,99000,1038712,3995079064
8916,100000,1048606,4081551818
