times,amount,compairs,swaps
1.69186ms,1000,6437,752844
6.757832ms,2000,14263,3006742
16.713198ms,3000,22780,6767636
27.892242ms,4000,31293,12004246
41.913809ms,5000,40611,18733418
59.521573ms,6000,49275,27179116
78.225546ms,7000,58918,36967180
101.57098ms,8000,67906,48513378
127.265437ms,9000,77606,61250444
159.102553ms,10000,87398,75874196
187.828718ms,11000,96994,91645792
230.547528ms,12000,106924,108811984
265.113706ms,13000,116438,128247776
308.445459ms,14000,126056,149175726
357.728922ms,15000,136774,171318052
403.945305ms,16000,146315,195288498
452.753534ms,17000,156711,220636894
527.942119ms,18000,166599,247383818
581.582539ms,19000,177105,276484412
615.755647ms,20000,187472,305549466
682.155595ms,21000,197111,338038770
752.536223ms,22000,207200,371548674
835.033903ms,23000,217727,406340280
892.71183ms,24000,228427,442590850
967.058842ms,25000,238049,480317020
1.068894379s,26000,248498,520712180
1.15576875s,27000,259551,561280054
1.241590973s,28000,269276,604867974
1.385283343s,29000,279882,648966960
1.436432601s,30000,290220,694854134
1.557025454s,31000,301664,742185858
1.658097232s,32000,311771,792127806
1.766673863s,33000,321636,845634180
2.014774181s,34000,332179,897874748
2.07127281s,35000,343282,951774966
2.080090233s,36000,353441,1005547824
2.176428307s,37000,364683,1063727036
2.354433006s,38000,375196,1122714432
2.462542834s,39000,385449,1184125786
2.556879974s,40000,396391,1247428698
2.718579654s,41000,407479,1309140038
2.848814509s,42000,418300,1374558078
3.000969301s,43000,428546,1443742926
3.062044439s,44000,439877,1514895332
3.304125934s,45000,449784,1583386658
3.394788846s,46000,460497,1658326168
3.606472541s,47000,470977,1731630400
3.744248037s,48000,482081,1807762404
3.835387167s,49000,493027,1885646554
4.091895764s,50000,503494,1965646002
4.190853612s,51000,513694,2045839416
4.356899775s,52000,526140,2129005990
4.418937081s,53000,536616,2212735234
4.714665927s,54000,547153,2302236936
4.878327934s,55000,556982,2384458238
4.906253346s,56000,568049,2476105142
5.242007603s,57000,579552,2568705022
5.445568792s,58000,589748,2660580098
5.695773827s,59000,600839,2758124550
5.788204607s,60000,611290,2854626698
5.935337753s,61000,622311,2951943146
6.443415866s,62000,632868,3053281472
6.645354138s,63000,643314,3152410204
6.673501687s,64000,655200,3253012354
6.980766713s,65000,665611,3359913394
7.264757354s,66000,676612,3470451696
7.731806195s,67000,687069,3581104972
7.831017747s,68000,698016,3687221292
7.982412422s,69000,709476,3800482414
7.963559481s,70000,720168,3914029932
8.265974445s,71000,731611,4033141850
8.529615123s,72000,742863,4143389188
8.768437464s,73000,753281,4266712216
9.02859106s,74000,764222,4390548132
9.220703137s,75000,774744,4509581424
9.590833228s,76000,786264,4634375106
9.590164847s,77000,795761,4756709694
10.066951361s,78000,807024,4883852852
10.279063205s,79000,817354,5018790834
10.515809715s,80000,831306,5151205066
10.896377611s,81000,839547,5281059242
11.041238679s,82000,850869,5417118150
11.173056503s,83000,862063,5557754570
11.787852463s,84000,873274,5693864564
12.114086318s,85000,882820,5833971436
12.405771538s,86000,895532,5979724106
12.668092746s,87000,905977,6124849948
12.814175349s,88000,917989,6270480946
13.099374099s,89000,928820,6414256524
13.499790578s,90000,940347,6569096630
13.794213586s,91000,949460,6719506510
13.971026788s,92000,960862,6868730584
14.311400261s,93000,971494,7025302912
14.686985579s,94000,982759,7175858960
15.24854957s,95000,993194,7339954452
15.628920696s,96000,1005209,7497934782
15.604578143s,97000,1016101,7670987828
15.921204264s,98000,1028470,7826483062
16.298918791s,99000,1038712,7990158128
16.681232458s,100000,1048606,8163103636
