amount,time,compairs,swaps
1000,4399694,19934,3230
2000,5584714,47806,6964
3000,7062772,61155,11017
4000,5806921,81754,14513
5000,4627607,109240,17911
6000,10698671,184302,21800
7000,6333220,198672,25751
8000,9849707,200599,29868
9000,17154850,229482,33429
10000,12373521,254340,37324
11000,21682455,272538,40743
12000,11932539,291750,45067
13000,21531813,331194,49605
14000,16768269,353540,53818
15000,24072323,398088,57325
16000,19113461,424280,61859
17000,29859864,459441,66833
18000,28464022,489194,71314
19000,41674320,495077,75146
20000,32349573,490890,79924
21000,42217209,530828,83534
22000,28971915,568886,88171
23000,26643748,598726,92983
24000,25737372,619386,96891
25000,37230037,640400,102059
26000,41728088,687590,105556
27000,39479734,696326,110306
28000,43712157,733862,114984
29000,43640896,763101,118839
30000,52685200,776141,124779
31000,54886225,838151,128440
32000,60085821,843030,133007
33000,45014501,879011,139000
34000,56105523,873178,142637
35000,54361437,889923,146811
36000,81486571,931057,151572
37000,91205037,959075,155797
38000,116669165,1007283,159938
39000,52433760,1016779,165214
40000,57812634,1046280,170033
41000,62988235,1095233,174317
42000,59369587,1106598,180737
43000,72900462,1148688,185117
44000,69254331,1160079,189462
45000,96419056,1198912,194431
46000,91580473,1218525,196998
47000,88878220,1228877,202813
48000,97746531,1259240,208419
49000,108006173,1288670,211954
50000,104369191,1317746,217554
51000,92769455,1355084,222562
52000,112002567,1373046,227005
53000,85003118,1394027,231767
54000,74051662,1409930,236914
55000,95203301,1431453,241720
56000,84212479,1499700,246860
57000,98221449,1523847,251467
58000,81687000,1543727,257506
59000,102740178,1564863,262066
60000,100436549,1579939,266604
61000,83238244,1630801,271299
62000,107200006,1651907,276416
63000,84006788,1674938,281835
64000,119553939,1703731,285830
65000,106282747,1719119,290323
66000,121436972,1746575,296082
67000,116712238,1778449,299941
68000,120539982,1814426,305184
69000,123261519,1814153,308953
70000,113293979,1848185,315660
71000,138691524,1885719,319427
72000,148940350,1912143,323795
73000,135738176,1944397,328460
74000,155510872,1973861,333748
75000,136466650,2004132,340516
76000,153837246,2035083,345204
77000,160487428,2058751,349735
78000,143490366,2077615,355075
79000,142358392,2098096,360523
80000,158583702,2121664,364405
81000,192279541,2158355,369229
82000,143973034,2198327,374903
83000,139896522,2210451,380513
84000,154215823,2246829,384484
85000,155463452,2264325,388411
86000,172793528,2311062,392981
87000,155820199,2323417,398384
88000,154802738,2334325,403167
89000,173350902,2367514,409619
90000,170868566,2402061,415176
91000,175088718,2436913,421753
92000,142226532,2450826,426225
93000,126051462,2483953,429928
94000,113698885,2490561,435476
95000,106286428,2499087,441152
96000,117899814,2543201,446420
97000,117943453,2582481,452340
98000,120160602,2588401,459360
99000,126408621,2618091,460901
100000,133312233,2652205,467758
