amount,time,compairs,swaps
1000,97105,20342,3034
2000,245676,103223,6139
3000,254274,69106,9792
4000,326525,92919,12444
5000,403444,118922,15542
6000,434906,222531,18642
7000,486512,244539,21699
8000,527848,258626,24848
9000,554106,278197,27223
10000,685315,306045,30352
11000,672492,335871,33265
12000,751982,361027,35548
13000,707112,448891,38953
14000,735005,480118,40875
15000,754520,486606,43764
16000,844249,533733,47139
17000,868959,594382,49260
18000,916865,628137,52798
19000,953206,655893,55272
20000,993434,674969,58373
21000,873135,703403,60952
22000,908346,729262,64216
23000,944852,767203,66475
24000,988871,821944,68813
25000,1037381,857619,72385
26000,1093403,888737,74058
27000,1128077,929699,78280
28000,1171783,995456,80170
29000,1208589,1039643,83627
30000,1308819,1064010,84851
31000,1246391,1079627,87421
32000,1251018,1128662,91779
33000,1397290,1159899,93393
34000,1305561,1189964,97151
35000,1463670,1229950,100768
36000,1372565,1250381,101661
37000,1538413,1265749,104837
38000,1541734,1305212,108274
39000,1515057,1371010,108827
40000,1518964,1458998,112015
41000,1630575,1493312,116749
42000,1625775,1538098,117041
43000,2008130,1575506,120460
44000,1808614,1601579,123223
45000,2203382,1629030,124106
46000,2213780,1687076,128296
47000,1898741,1676055,129548
48000,1974387,1732034,133468
49000,2021521,1731327,134406
50000,2006265,1751222,138288
51000,2236383,1791331,140412
52000,2144873,1839340,144168
53000,2162387,1890921,145905
54000,2275280,1912493,150374
55000,2227732,1955761,152666
56000,2317083,1971080,156185
57000,2347799,2012147,159145
58000,2137634,2043746,161659
59000,2383695,2092733,164165
60000,2344535,2164513,167450
61000,2544449,2212888,170477
62000,2418155,2236488,173663
63000,2499277,2305359,175789
64000,2497452,2352433,179665
65000,2745656,2392365,181066
66000,2521939,2423047,183947
67000,2583231,2496669,188419
68000,2635892,2507881,189754
69000,2757338,2538292,192224
70000,3096240,2587185,194267
71000,2940578,2619489,197374
72000,2894141,2648660,199268
73000,2984164,2693489,202605
74000,2996193,2717825,206020
75000,3137949,2770550,208947
76000,2981228,2796888,211829
77000,3155963,2850599,214879
78000,3005910,2865701,217380
79000,3088110,2930206,220270
80000,3149311,2924083,222309
81000,3189315,2948310,226678
82000,3152327,3001683,230922
83000,3158311,3044140,231234
84000,3087905,3071671,233696
85000,2963172,3205466,225958
86000,3064988,3285945,233748
87000,2909391,3337262,239687
88000,2921606,3312190,245233
89000,2936692,3385642,250180
90000,2968228,3345182,259369
91000,3193227,3382475,262574
92000,3042318,3419274,270841
93000,3041040,3447016,277782
94000,3045220,3435264,287762
95000,3254960,3482911,295227
96000,3196850,3464352,299506
97000,3433668,3468528,307427
98000,3212857,3518968,314890
99000,3120445,3517321,320653
100000,3347388,3597287,329268
